FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
31471163098254254,31.78656388888889,-98.42848333333333,23.0,0,100,1,0
31470048098275273,31.78346666666667,-98.46464722222223,31.0,0,100,1,0
32085239098385152,32.14788611111111,-98.64764444444445,22.0,0,50,4,0
31533605098371897,31.89334722222222,-98.62193611111111,34.0,0,500,1,0
31531491098355472,31.887475,-98.59853333333332,34.0,0,300,1,0
32064818098322806,32.11338333333333,-98.54112777777777,104.0,0,220,1,1
32065014098315736,32.11392777777778,-98.5326,104.0,0,300,1,0
32062933098320118,32.10814722222222,-98.53366111111112,104.0,0,500,1,0
32223715099063691,32.37698611111111,-99.11025277777777,76.0,0,11640,1,0
32223222099023875,32.375616666666666,-99.04409722222222,59.0,1,19166,1,0
32223751099063693,32.37708611111111,-99.11025833333333,59.0,0,11135,1,0
32223558099061549,32.37655,-99.10430277777778,59.0,0,50,5,1
32223238099025902,32.375661111111114,-99.04972777777778,59.0,0,35,5,0
32223052099015307,32.375144444444445,-99.03140833333333,49.0,1,19166,1,0
32223043099001833,32.375119444444444,-99.00509166666667,57.0,0,1600,4,0
32222869098590002,32.37463611111111,-98.9833388888889,57.0,0,11873,5,0
32222833098585996,32.37453611111111,-98.98332222222223,57.0,0,12397,5,0
32222847098581394,32.374575,-98.9705388888889,57.0,0,13094,5,0
32222816098581388,32.37448888888889,-98.97052222222223,57.0,0,13416,5,0
32223122098552881,32.37533888888889,-98.92466944444445,57.0,0,22282,1,0
32223151098551969,32.37541944444445,-98.92213611111112,57.0,0,35,5,0
32223147098543234,32.37540833333333,-98.90898333333334,55.0,0,22282,1,0
32223134098531180,32.375372222222225,-98.88661111111112,55.0,0,630,5,0
32223508098530503,32.37641111111111,-98.88473055555556,18.0,1,470,1,0
32223392098525183,32.37608888888889,-98.88106388888889,55.0,0,200,1,0
32223140098525201,32.37538888888889,-98.88111388888888,55.0,0,22282,1,0
32222959098525181,32.37488611111111,-98.88105833333333,55.0,0,340,1,0
32223416098495669,32.376155555555556,-98.83241388888888,55.0,0,470,1,0
32223347098495633,32.37596388888889,-98.83231388888889,55.0,0,22282,1,0
32223270098495602,32.375750000000004,-98.83222777777777,55.0,0,340,1,0
32223532098495113,32.37647777777778,-98.83086944444445,55.0,0,13094,5,0
32223502098495104,32.37639444444444,-98.83084444444444,55.0,0,13416,5,0
32224255098492888,32.37848611111111,-98.82468888888889,55.0,0,12408,1,0
32224225098492874,32.37840277777778,-98.82464999999999,55.0,0,12908,1,0
32225799098485890,32.382775,-98.8163611111111,52.0,0,29,1,0
32225221098485732,32.381169444444446,-98.81592222222221,52.0,0,35,5,0
32232433098475377,32.39009166666666,-98.79826944444444,52.0,0,12408,5,0
32232412098475342,32.390033333333335,-98.79817222222222,52.0,0,12908,5,0
32240304098472307,32.400844444444445,-98.78974166666667,52.0,0,12719,5,0
32240279098472273,32.400774999999996,-98.78964722222221,52.0,0,13322,5,0
32240600098480842,32.401666666666664,-98.80233888888888,34.0,1,10599,1,0
32255939098424031,32.433163888888885,-98.71119722222222,84.0,1,846,3,1
32232920098581868,32.391444444444446,-98.97185555555556,39.0,1,2846,1,0
32240614098483860,32.40170555555555,-98.81072222222222,23.0,1,11121,5,0
32241623098465863,32.40450833333333,-98.78295277777778,52.0,0,21887,1,0
32244620098455021,32.41283333333333,-98.76394722222223,48.0,0,12719,5,0
32244592098455004,32.412755555555556,-98.7639,48.0,0,13322,5,0
32245061098453526,32.41405833333333,-98.75979444444444,48.0,0,12719,5,0
32245029098453516,32.41396944444444,-98.75976666666666,48.0,0,13322,5,0
32250429098441774,32.41785833333333,-98.73826111111111,48.0,0,12806,5,0
32250404098441748,32.417788888888886,-98.73818888888889,48.0,0,13343,5,0
32255892098424005,32.433033333333334,-98.71112500000001,48.0,0,12806,1,0
32255865098423989,32.43295833333333,-98.71108055555555,48.0,0,13343,1,0
32255805098423956,32.43279166666667,-98.71098888888889,48.0,0,327,1,0
32260493098422619,32.43470277777777,-98.70727500000001,48.0,0,21978,1,0
32280300098404944,32.4675,-98.6804,71.0,1,3672,1,0
32282064098401540,32.4724,-98.67094444444444,68.0,1,2769,1,0
32281997098393310,32.47221388888889,-98.65919444444445,68.0,0,1833,1,0
32284860098361035,32.48016666666667,-98.602875,59.0,1,25223,1,0
32284719098361872,32.479775000000004,-98.6052,68.0,0,12452,1,1
32284689098361867,32.47969166666667,-98.60518611111111,68.0,0,12453,1,1
32295699098310001,32.49916388888889,-98.51666944444445,65.0,0,922,5,0
32284616098361847,32.47948888888889,-98.60513055555555,59.0,0,259,1,0
32284780098361891,32.47994444444445,-98.60525277777778,59.0,0,59,1,0
32262132098414861,32.439255555555555,-98.69683611111111,54.0,0,3867,4,0
32264780098405541,32.44661111111111,-98.68205833333334,54.0,0,344,1,0
32264603098405348,32.44611944444444,-98.68152222222223,54.0,0,21641,1,0
32264427098404846,32.44563055555555,-98.68012777777778,54.0,0,259,1,0
32270982098394483,32.45272777777778,-98.66245277777779,54.0,0,35,5,0
32273608098382920,32.46002222222223,-98.64144444444445,10.0,1,13201,5,0
32273583098382888,32.45995277777778,-98.64135555555556,54.0,0,12547,5,0
32282713098373213,32.474202777777776,-98.62559166666666,54.0,0,962,4,1
32292328098330216,32.4898,-98.5506,8.0,0,20800,5,0
32232379099012755,32.389941666666665,-99.02431944444444,94.0,0,174,3,1
32261713098585080,32.438091666666665,-98.98077777777777,6.0,0,1132,5,0
32230407098583698,32.38446388888889,-98.9769388888889,40.0,1,5893,1,0
32204124098573195,32.34478888888889,-98.958875,53.0,0,2626,1,0
32184626098572675,32.31285,-98.95743055555556,53.0,0,2298,1,0
32170491098572830,32.28469722222222,-98.95786111111111,53.0,0,2298,1,0
32163534098572875,32.27648333333333,-98.95798611111111,53.0,0,2298,1,0
32141842098573010,32.23845,-98.95836111111112,53.0,0,2096,1,0
32051342098575045,32.08706111111111,-98.96401388888889,49.0,0,2436,1,0
32112508098573498,32.19029999999999,-98.95971666666667,45.0,0,2096,1,0
32105278098573661,32.181327777777774,-98.96016944444445,45.0,0,2096,1,0
32054220098574960,32.09505555555556,-98.96377777777778,24.0,0,2559,1,0
32055058098565455,32.09738333333333,-98.94848611111111,44.0,1,2180,1,0
32055129098534711,32.09758055555556,-98.89641944444445,44.0,1,1499,1,0
32242797098490511,32.40776944444444,-98.81808611111111,54.0,0,1680,1,0
32222807098495077,32.37446388888889,-98.83076944444444,61.0,0,3264,1,0
32220582098494431,32.36828333333333,-98.828975,61.0,0,3264,1,0
32131818098434871,32.221716666666666,-98.73019722222223,41.0,1,2252,1,0
32131844098422847,32.22178888888889,-98.70790833333334,41.0,1,2252,1,0
32253610098314955,32.42669444444444,-98.53043055555555,39.0,1,951,1,0
32244998098315687,32.41388333333333,-98.53246388888888,39.0,1,951,2,0
32214465098325236,32.36240277777778,-98.54787777777777,39.0,1,951,1,0
32203773098325279,32.34381388888889,-98.54799722222222,39.0,1,951,1,0
32163346098325713,32.27596111111111,-98.54920277777778,36.0,1,1075,1,0
32291104098311056,32.4864,-98.5196,1.0,0,980,5,0
32301284098283845,32.503566666666664,-98.47734722222222,90.0,0,30,3,0
32300009098295421,32.500025,-98.49839166666666,90.0,0,51,1,0
32300068098295428,32.500188888888886,-98.49841111111111,33.0,1,13589,5,0
32300100098295433,32.500277777777775,-98.498425,65.0,0,12840,5,0
32300470098292602,32.501305555555554,-98.4905611111111,65.0,0,16,5,0
32300943098285631,32.50261944444444,-98.48230833333334,65.0,0,12840,1,0
32300913098285625,32.50253611111111,-98.48229166666667,52.0,1,13589,1,1
32301219098283832,32.50338611111111,-98.4773111111111,65.0,0,12840,1,1
32301188098283826,32.5033,-98.47729444444445,65.0,0,13589,1,1
32301164098283821,32.503233333333334,-98.47728055555555,52.0,0,51,1,0
32275846098532431,32.46623888888889,-98.89008611111112,57.0,0,698,1,0
32241836098571967,32.4051,-98.95546388888889,57.0,0,906,1,0
32054466098581168,32.09573888888889,-98.96991111111112,64.0,1,3431,1,0
32065695099065706,32.11581944444445,-99.11585,44.0,1,2425,1,0
32055921099044579,32.099780555555554,-99.0793861111111,44.0,1,2270,1,0
32055950099035136,32.09986111111111,-99.06426666666667,44.0,1,2270,1,0
32055898099015020,32.099716666666666,-99.03061111111111,44.0,1,2462,1,0
32134558098384813,32.22932777777778,-98.64670277777779,65.0,0,863,1,0
32150612098361185,32.2517,-98.60329166666666,65.0,0,685,1,1
32150836098360715,32.25232222222222,-98.6019861111111,65.0,0,685,1,0
32151576098355165,32.254377777777776,-98.59768055555556,65.0,0,685,1,0
32160957098333484,32.269325,-98.55967777777778,7.0,1,2362,1,0
32122493098423808,32.206925000000005,-98.71057777777779,37.0,1,246,1,0
32122507098412167,32.20696388888889,-98.68935277777778,37.0,1,246,1,0
32130005098434340,32.216680555555556,-98.72872222222223,37.0,1,264,1,0
32264722098380127,32.44645,-98.63368611111112,94.0,0,202,2,0
32202543098374237,32.34039722222222,-98.6284361111111,83.0,0,391,8,1
32174086098381592,32.29468333333333,-98.63775555555556,65.0,0,128,1,0
32173770098381586,32.29380555555555,-98.63773888888889,65.0,0,128,1,0
32140783098384102,32.235508333333335,-98.64472777777779,61.0,0,178,1,0
32175035098381567,32.29731944444444,-98.63768611111112,8.0,0,128,5,0
32184975098374134,32.31381944444444,-98.62814999999999,16.0,0,128,1,0
32281000098472302,32.46944444444445,-98.78972777777777,73.0,0,896,1,0
32281256098465172,32.47015555555556,-98.78103333333333,39.0,0,896,1,0
32281251098442427,32.47014166666667,-98.740075,25.0,0,834,1,0
32293863098410339,32.49406388888889,-98.684275,66.0,0,418,1,0
32282443098404973,32.47345277777778,-98.68048055555556,62.0,0,1267,1,0
32250464098415542,32.41795555555555,-98.69872777777778,33.0,1,678,1,0
32245183098415340,32.41439722222222,-98.69816666666667,8.0,1,678,1,0
32221128098403180,32.3698,-98.6755,4.0,0,468,1,0
32163546098414936,32.276516666666666,-98.69704444444444,62.0,0,260,1,0
32141096098401468,32.236377777777776,-98.67074444444445,62.0,0,340,1,0
32202524099011805,32.34034444444445,-99.02168055555555,78.0,0,173,1,0
32194484099015102,32.329122222222225,-99.0308388888889,78.0,0,173,1,0
32182541099023912,32.30705833333333,-99.0442,73.0,0,100,1,0
32171280099023829,32.28688888888889,-99.04396944444444,66.0,0,100,1,0
32124506099054615,32.21251666666667,-99.09615277777777,69.0,0,164,1,0
